filename,width,height,class,xmin,ymin,xmax,ymax
3-4-10-color.jpg,640,480,hold,96,44,297,302
4-right-200211.jpg,1280,720,right,240,150,766,472
4-left-100241.jpg,1280,720,left,157,164,651,447
8_9_4_rgb.jpg,1280,960,5,622,441,867,711
4-left-200151.jpg,1280,720,left,94,86,719,514
gesture8_3_158.jpg,640,480,cool,412,257,533,373
1-right-300091.jpg,1280,720,right,729,134,1205,430
5_A_hgr2B_id01_1.jpg,400,604,5,99,131,244,298
2-left-100175.jpg,1280,720,left,845,334,1167,591
left - 033.jpg,640,480,left,66,175,312,313
2-2-2-color.jpg,640,480,2,267,164,404,439
left - 022.jpg,640,480,left,275,121,499,257
5-right-100251.jpg,1280,720,right,294,187,586,381
5_A_hgr2B_id09_1.jpg,400,604,5,161,125,313,291
2-2-1-color.jpg,640,480,2,239,119,398,404
1-left-400241.jpg,1280,720,left,3,166,485,511
gesture5_4_121.jpg,640,480,5,424,142,561,320
7_7_9_rgb.jpg,1280,960,cool,495,388,775,538
1-left-300321.jpg,1280,720,left,618,225,1043,459
1-left-300171.jpg,1280,720,left,622,176,1124,408
1-right-200251.jpg,1280,720,right,219,181,630,459
7_1_2_rgb.jpg,1280,960,0,701,389,858,543
gesture7_4_58.jpg,640,480,ok,324,235,472,427
1-2-24-color.jpg,640,480,2,324,165,496,447
gesture2_1_125.jpg,640,480,2,465,188,601,399
gesture6_1_414.jpg,640,480,ok,370,183,479,346
1-9-19-color.jpg,640,480,3,237,105,430,335
2-5-16-color.jpg,640,480,0,221,157,390,319
gesture4_5_149.jpg,640,480,4,307,171,440,313
right - 113.jpg,1280,720,right,712,5,1280,350
5-left-100181.jpg,1280,720,left,1,313,298,519
right - 092.jpeg,320,213,right,212,126,283,164
gesture1_1_68.jpg,640,480,1,431,202,572,371
4-10-13-color.jpg,640,480,left,233,106,422,237
gesture0_5_199.jpg,640,480,0,337,223,437,330
gesture6_4_124.jpg,640,480,ok,388,102,505,235
3-9-16-color.jpg,640,480,3,173,37,387,310
1-left-100011.jpg,1280,720,left,48,269,551,537
9_1_10_rgb.jpg,1280,960,0,795,330,976,513
4-right-200001.jpg,1280,720,right,329,173,798,487
2-left-100238.jpg,1280,720,left,96,276,519,559
1-right-400101.jpg,1280,720,right,67,78,556,416
frame1907.jpg,640,480,3,418,136,535,332
left - 109.jpg,1280,720,left,698,103,1097,330
1-right-100231.jpg,1280,720,right,723,368,1094,606
gesture7_4_159.jpg,640,480,ok,355,51,510,261
1-7-3-color.jpg,640,480,1,217,123,400,426
1-10-2-color.jpg,640,480,right,193,188,501,380
4-4-8-color.jpg,640,480,hold,268,79,410,388
3-7-11-color.jpg,640,480,1,383,72,594,330
frame1932.jpg,640,480,3,423,143,543,332
9_6_4_rgb.jpg,1280,960,3,587,264,773,530
2_6_8_rgb.jpg,1280,960,3,590,403,761,675
14_1_8_rgb.jpg,1280,960,0,655,391,798,541
11_5_8_rgb.jpg,1280,960,2,542,249,704,507
4_6_6_rgb.jpg,1280,960,3,621,281,792,529
4-2-15-color.jpg,640,480,2,247,94,431,410
gesture7_5_328.jpg,640,480,ok,395,285,489,429
gesture4_1_177.jpg,640,480,4,412,175,573,374
gesture4_1_106.jpg,640,480,4,423,188,564,395
11_6_5_rgb.jpg,1280,960,3,355,315,558,559
right - 109.jpeg,320,213,right,4,61,96,115
1-left-100081.jpg,1280,720,left,50,269,536,555
right - 018.jpg,640,480,right,263,194,502,327
5-left-100141.jpg,1280,720,left,1,300,284,519
4-1-10-color.jpg,640,480,5,156,39,457,334
4-9-9-color.jpg,640,480,3,345,175,501,382
gesture7_4_181.jpg,640,480,ok,409,37,562,245
1-right-200211.jpg,1280,720,right,279,182,597,443
3-5-10-color.jpg,640,480,0,72,122,201,273
4-10-21-color.jpg,640,480,left,266,109,528,294
3-2-14-color.jpg,640,480,2,169,63,345,325
2_6_4_rgb.jpg,1280,960,3,674,418,824,686
gesture4_2_182.jpg,640,480,4,483,178,625,329
20-color.jpg,640,480,5,173,140,441,423
11_5_5_rgb.jpg,1280,960,2,461,400,640,626
gesture7_1_115.jpg,640,480,ok,406,197,555,373
4-9-21-color.jpg,640,480,3,220,69,421,326
7_2_4_rgb.jpg,1280,960,1,570,385,735,611
gesture5_3_223.jpg,640,480,5,425,162,545,319
9_2_2_rgb.jpg,1280,960,1,471,186,697,467
11_1_1_rgb.jpg,1280,960,0,537,291,691,461
1-right-300031.jpg,1280,720,right,699,143,1226,458
3_6_9_rgb.jpg,1280,960,3,499,444,695,694
1-2-20-color.jpg,640,480,2,308,183,465,449
3-1-5-color.jpg,640,480,5,324,62,572,302
gesture6_1_212.jpg,640,480,right,423,208,604,354
left - 057.jpg,3088,2320,left,1498,1579,2352,2077
gesture8_4_93.jpg,640,480,cool,343,73,534,221
9_9_9_rgb.jpg,1280,960,5,615,310,906,588
3-7-3-color.jpg,640,480,1,136,109,303,391
3-10-17-color.jpg,640,480,right,160,146,367,283
7_5_9_rgb.jpg,1280,960,2,545,349,701,567
5-left-100221.jpg,1280,720,left,1,305,279,515
frame2_282.jpg,640,480,3,428,245,567,449
gesture2_1_46.jpg,640,480,2,481,198,612,398
6_9_7_rgb.jpg,1280,960,5,584,310,835,554
7_5_6_rgb.jpg,1280,960,2,623,354,767,571
12_5_6_rgb.jpg,1280,960,2,574,446,735,656
2-5-22-color.jpg,640,480,0,247,114,392,287
2-1-17-color.jpg,640,480,5,178,161,442,423
4-7-15-color.jpg,640,480,1,257,68,394,355
2_5_10_rgb.jpg,1280,960,2,650,460,800,725
2_9_9_rgb.jpg,1280,960,5,611,448,863,670
frame2_314.jpg,640,480,3,466,115,594,341
2-left-100082.jpg,1280,720,left,809,310,1060,572
right - 014.jpg,640,480,right,195,275,447,411
gesture6_4_110.jpg,640,480,ok,414,210,550,376
4-left-200201.jpg,1280,720,left,17,70,724,503
3-4-30-color.jpg,640,480,hold,260,111,415,355
5_A_hgr2B_id14_1.jpg,400,604,5,137,78,292,249
4-1-20-color.jpg,640,480,5,245,78,471,362
4-2-10-color.jpg,640,480,2,194,159,339,447
left - 101.jpeg,320,213,left,7,145,102,189
1-8-4-color.jpg,640,480,4,204,101,463,425
gesture6_1_178.jpg,640,480,ok,429,216,551,394
5-left-100021.jpg,1280,720,left,1,290,307,502
left - 135.jpg,1280,720,left,854,456,1140,619
gesture8_3_356.jpg,640,480,cool,384,188,513,305
12_2_2_rgb.jpg,1280,960,1,574,327,741,584
4-5-20-color.jpg,640,480,0,296,131,444,311
3-8-22-color.jpg,640,480,4,102,68,296,326
2-9-2-color.jpg,640,480,3,253,103,419,358
2-right-100343.jpg,1280,720,right,116,324,486,545
right - 080.jpg,3088,2320,left,508,684,1481,1409
2_5_3_rgb.jpg,1280,960,2,596,415,762,698
1-right-400091.jpg,1280,720,right,121,119,534,423
right - 151.jpg,1280,720,right,18,502,324,676
left - 076.jpg,3088,2320,left,2242,779,3015,1243
gesture6_4_283.jpg,640,480,ok,313,248,471,454
gesture8_1_97.jpg,640,480,cool,332,133,515,343
right - 140.jpg,1280,720,right,54,259,402,430
gesture8_4_181.jpg,640,480,cool,326,300,510,448
11_7_4_rgb.jpg,1280,960,cool,540,374,764,565
gesture6_1_203.jpg,640,480,ok,382,220,509,390
2-1-20-color.jpg,640,480,5,183,150,445,418
gesture8_4_21.jpg,640,480,cool,298,278,493,422
1-right-300221.jpg,1280,720,right,736,149,1234,434
4-2-23-color.jpg,640,480,2,162,16,325,376
4-right-200031.jpg,1280,720,right,293,147,775,445
2-right-100127.jpg,1280,720,right,785,251,1185,540
1-10-11-color.jpg,640,480,right,226,171,475,322
8_9_6_rgb.jpg,1280,960,5,564,343,819,600
left - 052.jpg,3088,2320,left,1147,972,2023,1535
gesture6_1_643.jpg,640,480,ok,458,233,555,395
gesture8_4_11.jpg,640,480,cool,297,99,474,249
4_6_3_rgb.jpg,1280,960,3,718,437,851,655
4-5-10-color.jpg,640,480,0,283,21,439,215
4_2_5_rgb.jpg,1280,960,1,693,238,847,469
gesture7_3_315.jpg,640,480,ok,348,209,483,364
A_P_hgr2B_id09_1.jpg,400,604,0,169,202,279,295
3-8-7-color.jpg,640,480,4,42,70,245,334
4-right-200131.jpg,1280,720,right,251,152,773,427
3-8-17-color.jpg,640,480,4,311,71,526,307
gesture7_4_245.jpg,640,480,ok,412,202,568,393
1_A_hgr2B_id11_1.jpg,400,604,1,144,116,246,280
4-2-4-color.jpg,640,480,2,181,91,315,372
3-5-30-color.jpg,640,480,0,257,127,385,276
gesture4_1_302.jpg,640,480,4,381,200,513,382
13_2_9_rgb.jpg,1280,960,1,599,277,743,533
right - 118.jpg,1280,720,right,741,313,1280,658
1-right-400281.jpg,1280,720,right,203,123,568,405
frame2_239.jpg,640,480,3,401,217,539,421
gesture7_4_276.jpg,640,480,ok,356,188,511,376
left - 083.jpg,3088,2320,left,2169,614,2942,1118
2-left-100109.jpg,1280,720,left,796,280,1202,571
left - 036.jpg,640,480,left,410,226,602,357
2-5-13-color.jpg,640,480,0,255,185,426,354
7_5_3_rgb.jpg,1280,960,2,557,353,712,579
gesture4_5_134.jpg,640,480,4,356,236,461,384
2-1-26-color.jpg,640,480,5,218,131,447,391
gesture4_1_213.jpg,640,480,4,373,177,491,331
2-left-100418.jpg,1280,720,left,60,261,469,562
gesture5_3_310.jpg,640,480,5,431,258,542,386
3-9-26-color.jpg,640,480,3,319,119,465,322
2-9-7-color.jpg,640,480,3,156,100,348,340
3-1-23-color.jpg,640,480,5,335,110,569,353
4-4-15-color.jpg,640,480,hold,171,60,330,377
gesture7_4_23.jpg,640,480,ok,307,266,454,442
5-left-100101.jpg,1280,720,left,1,304,254,513
gesture6_4_34.jpg,640,480,ok,351,289,463,433
gesture4_1_280.jpg,640,480,4,370,163,504,339
4-10-8-color.jpg,640,480,left,263,119,476,271
3-2-17-color.jpg,640,480,2,217,145,341,364
1_9_2_rgb.jpg,1280,960,5,607,238,855,520
3-2-22-color.jpg,640,480,2,346,123,520,349
6_5_2_rgb.jpg,1280,960,2,753,339,875,575
left - 118.jpg,1280,720,left,300,198,694,459
2-right-100451.jpg,1280,720,right,88,328,473,574
gesture8_1_269.jpg,640,480,cool,407,187,527,373
gesture7_4_100.jpg,640,480,ok,438,98,565,258
5_A_hgr2B_id10_1.jpg,400,604,5,144,111,287,271
4-7-14-color.jpg,640,480,1,346,118,491,419
3_rgb.jpg,1280,960,0,537,239,749,454
gesture2_1_198.jpg,640,480,2,442,191,570,405
gesture8_1_82.jpg,640,480,cool,368,269,576,433
gesture3_1_34.jpg,640,480,3,419,204,571,400
gesture4_1_231.jpg,640,480,4,511,160,601,316
2_7_8_rgb.jpg,1280,960,cool,564,375,797,609
gesture0_1_735.jpg,640,480,0,424,211,554,328
2-right-100340.jpg,1280,720,right,96,311,508,555
right - 107.jpeg,320,213,right,30,66,120,120
14_9_2_rgb.jpg,1280,960,5,551,458,814,704
3_9_7_rgb.jpg,1280,960,5,700,348,999,641
3-8-3-color.jpg,640,480,4,315,69,518,307
gesture6_1_162.jpg,640,480,ok,457,172,633,364
Y_A_hgr2B_id02_1.jpg,400,604,cool,92,187,223,316
gesture7_1_123.jpg,640,480,ok,396,173,541,351
2-left-100292.jpg,1280,720,left,56,289,480,566
right - 086.jpg,3088,2320,right,240,338,1423,1072
2-1-10-color.jpg,640,480,5,239,133,474,424
2-right-100280.jpg,1280,720,right,141,262,551,536
13_1_3_rgb.jpg,1280,960,0,530,588,743,748
5_2_4_rgb.jpg,1280,960,1,635,353,775,567
2-right-100391.jpg,1280,720,right,135,291,507,562
1-left-300181.jpg,1280,720,left,558,125,989,388
2-2-9-color.jpg,640,480,2,181,177,350,417
4-left-100071.jpg,1280,720,left,62,137,577,441
1-left-300111.jpg,1280,720,left,583,154,1058,408
12_5_2_rgb.jpg,1280,960,2,653,348,781,600
gesture6_5_716.jpg,640,480,ok,403,151,504,294
1-left-400231.jpg,1280,720,left,14,168,485,502
gesture8_3_149.jpg,640,480,cool,386,266,519,380
gesture7_4_62.jpg,640,480,ok,323,119,463,284
left - 019.jpg,640,480,left,26,135,243,267
4-10-22-color.jpg,640,480,left,200,72,452,250
4-right-100051.jpg,1280,720,right,77,132,679,559
gesture8_1_127.jpg,640,480,cool,347,184,504,369
1-7-26-color.jpg,640,480,1,266,167,423,397
9_2_3_rgb.jpg,1280,960,1,575,173,738,443
8_9_8_rgb.jpg,1280,960,5,526,448,780,726
4-9-28-color.jpg,640,480,3,255,140,436,389
1-2-10-color.jpg,640,480,2,259,153,464,430
gesture6_1_59.jpg,640,480,ok,429,93,577,339
1-left-100161.jpg,1280,720,left,46,286,575,567
right - 055.jpg,3088,2320,right,986,894,1740,1304
1-9-30-color.jpg,640,480,3,282,58,545,407
3-10-29-color.jpg,640,480,right,202,72,388,204
1-10-18-color.jpg,640,480,right,211,147,455,309
3-1-16-color.jpg,640,480,5,285,100,517,337
gesture2_1_72.jpg,640,480,2,426,218,555,409
1-right-200291.jpg,1280,720,right,216,202,567,456
right - 041.jpg,3088,2320,right,1257,562,2188,1192
gesture6_1_228.jpg,640,480,ok,390,161,527,354
gesture4_1_81.jpg,640,480,4,432,178,568,375
gesture6_1_575.jpg,640,480,ok,407,185,535,358
3-5-23-color.jpg,640,480,0,267,104,397,243
4-left-100031.jpg,1280,720,left,109,152,613,438
gesture8_4_68.jpg,640,480,cool,290,107,465,237
