filename,width,height,class,xmin,ymin,xmax,ymax
gesture7_1_191.jpg,640,480,ok,442,198,571,373
gesture7_5_265.jpg,640,480,ok,272,55,384,202
2-2-24-color.jpg,640,480,2,185,216,380,438
8_7_6_rgb.jpg,1280,960,cool,531,487,801,663
4-right-100191.jpg,1280,720,right,15,140,651,566
right - 131.jpg,1280,720,right,380,407,762,660
gesture1_1_56.jpg,640,480,1,446,184,576,355
23-color.jpg,640,480,5,153,159,399,409
right - 077.jpg,3088,2320,right,1823,814,2864,1355
2-left-100334.jpg,1280,720,left,67,274,473,545
gesture6_4_271.jpg,640,480,ok,344,187,478,340
gesture1_1_100.jpg,640,480,1,415,179,561,367
1-left-400101.jpg,1280,720,left,1,162,491,481
gesture8_4_34.jpg,640,480,cool,339,244,522,392
1-left-200081.jpg,1280,720,left,703,186,1217,448
4-10-17-color.jpg,640,480,left,261,161,465,301
1-9-2-color.jpg,640,480,3,223,84,464,389
12_5_6_rgb.jpg,1280,960,2,574,446,735,656
5-right-100191.jpg,1280,720,right,228,183,556,364
left - 056.jpg,3088,2320,left,835,1133,1715,1667
2_5_5_rgb.jpg,1280,960,2,650,432,791,705
gesture6_1_491.jpg,640,480,ok,433,219,533,398
3-7-6-color.jpg,640,480,1,185,86,351,361
gesture8_4_181.jpg,640,480,cool,326,300,510,448
1-right-100411.jpg,1280,720,right,653,400,1047,631
4-5-23-color.jpg,640,480,0,248,55,389,242
gesture5_3_200.jpg,640,480,5,385,143,518,283
1-right-200061.jpg,1280,720,right,151,188,541,475
4-right-200281.jpg,1280,720,right,415,158,798,473
gesture2_1_73.jpg,640,480,2,417,132,587,407
4-2-3-color.jpg,640,480,2,82,63,270,352
7_2_8_rgb.jpg,1280,960,1,696,422,840,650
1-right-300131.jpg,1280,720,right,721,154,1201,436
gesture8_3_142.jpg,640,480,cool,360,263,501,386
2-1-14-color.jpg,640,480,5,212,154,450,403
2-2-10-color.jpg,640,480,2,196,170,340,430
left - 105.jpeg,320,213,left,43,100,124,149
2-right-100067.jpg,1280,720,right,773,234,1197,492
13_7_9_rgb.jpg,1280,960,cool,494,455,732,578
gesture6_4_273.jpg,640,480,ok,347,242,525,462
1-right-100261.jpg,1280,720,right,765,358,1137,595
gesture5_3_310.jpg,640,480,5,431,258,542,386
14_7_2_rgb.jpg,1280,960,cool,501,451,715,617
gesture6_5_693.jpg,640,480,ok,368,81,491,206
2-8-13-color.jpg,640,480,4,289,141,484,426
gesture8_4_170.jpg,640,480,cool,398,288,567,438
5_6_9_rgb.jpg,1280,960,3,752,298,928,555
13_5_7_rgb.jpg,1280,960,2,615,449,736,634
5-left-100251.jpg,1280,720,left,1,307,316,515
4-5-21-color.jpg,640,480,0,400,142,544,320
4-5-5-color.jpg,640,480,0,315,119,448,277
14_2_4_rgb.jpg,1280,960,1,530,197,697,452
5_A_hgr2B_id01_1.jpg,400,604,5,99,131,244,298
4-1-11-color.jpg,640,480,5,230,47,507,349
2_2_8_rgb.jpg,1280,960,1,734,379,877,633
2-7-24-color.jpg,640,480,1,265,140,439,360
13_7_8_rgb.jpg,1280,960,cool,552,462,782,590
gesture7_4_115.jpg,640,480,ok,461,117,583,272
right - 007.jpg,640,480,right,107,72,283,184
gesture7_4_147.jpg,640,480,ok,483,193,607,352
1-8-14-color.jpg,640,480,4,246,113,497,437
1-7-20-color.jpg,640,480,1,260,172,436,437
6_5_5_rgb.jpg,1280,960,2,544,455,695,641
4-9-10-color.jpg,640,480,3,270,67,436,296
2_5_3_rgb.jpg,1280,960,2,596,415,762,698
4-2-24-color.jpg,640,480,2,100,33,278,357
11_2_3_rgb.jpg,1280,960,1,560,553,703,731
2-7-2-color.jpg,640,480,1,318,118,489,372
gesture4_4_462.jpg,640,480,4,417,110,560,273
gesture5_4_242.jpg,640,480,5,480,107,620,284
3-10-8-color.jpg,640,480,right,161,30,411,205
12_6_1_rgb.jpg,1280,960,3,572,374,714,644
6_A_hgr2B_id15_1.jpg,400,604,3,165,126,250,264
right - 017.jpg,640,480,right,11,62,243,201
gesture6_4_108.jpg,640,480,ok,352,102,479,242
1-left-400081.jpg,1280,720,left,1,175,512,468
gesture4_5_104.jpg,640,480,4,430,163,538,297
5_6_10_rgb.jpg,1280,960,3,671,341,865,570
9_9_1_rgb.jpg,1280,960,5,580,289,813,546
left - 108.jpg,1280,720,left,804,82,1185,330
right - 032.jpg,640,480,right,294,208,549,346
2-7-23-color.jpg,640,480,1,255,112,405,361
gesture4_1_c267.jpg,640,480,4,343,158,557,386
gesture8_3_478.jpg,640,480,cool,445,186,543,343
4_6_8_rgb.jpg,1280,960,3,633,483,767,697
gesture8_3_158.jpg,640,480,cool,412,257,533,373
3_2_10_rgb.jpg,1280,960,1,641,403,775,648
6_2_5_rgb.jpg,1280,960,1,479,375,640,585
gesture8_5_189.jpg,640,480,cool,345,176,441,306
5-right-100221.jpg,1280,720,right,236,174,552,374
